file,error,carbon
low,13.0,10.41
medium,8.2,19.49
high,6.85,61.55
err7,7.0,56.86
err8,8.0,25.33
err9,9.0,17.95
err10,10.0,16.12
err11,11.0,14.29
err12,12.0,12.29
